ID_merge,appid,id_developer,weights
145,4780,5322,0.3333333333333333
146,4780,5323,0.3333333333333333
147,4780,15420,0.3333333333333333
148,4800,6550,1.0
149,4850,6550,1.0
150,4870,6550,1.0
151,4880,6550,1.0
152,4890,6550,1.0
153,4900,16301,1.0
154,4920,16301,1.0
155,6000,9184,1.0
156,6010,9184,1.0
157,6020,1303,0.5
158,6020,12617,0.5
159,6030,1303,0.5
160,6030,12617,0.5
161,6040,9184,1.0
162,6060,11505,1.0
163,6080,5736,1.0
164,6090,11995,1.0
165,6120,8455,1.0
166,6200,13822,1.0
167,6210,3922,1.0
168,6220,2427,1.0
169,6250,10406,1.0
170,6270,1234,1.0
171,6300,5805,1.0
172,6310,5805,1.0
173,6370,14804,1.0
174,6400,10310,1.0
175,6420,10137,0.5
176,6420,15625,0.5
177,6510,2585,1.0
178,6550,2585,1.0
179,6800,12380,1.0
180,6810,12380,1.0
181,6830,12380,1.0
182,6840,12380,1.0
183,6850,7568,1.0
184,6860,7568,1.0
185,6870,4707,1.0
186,6880,1408,1.0
187,6900,7566,1.0
188,6910,7573,1.0
189,6920,7573,1.0
190,6980,7573,1.0
191,7000,3455,1.0
192,7010,3455,1.0
193,7020,12693,1.0
194,7110,1873,1.0
195,7200,10470,1.0
196,7210,11676,1.0
197,7220,11676,1.0
198,7260,3530,1.0
199,7340,1799,1.0
200,7510,5900,1.0
201,7520,12673,1.0
202,7530,12673,1.0
203,7600,5323,0.5
204,7600,5382,0.5
205,7610,12178,1.0
206,7620,12178,1.0
207,7650,9945,1.0
208,7660,9945,1.0
209,7730,9945,1.0
210,7760,9945,1.0
211,7770,9945,1.0
212,7830,1758,1.0
213,7840,13990,1.0
214,7860,15441,1.0
215,7940,1303,0.5
216,7940,7442,0.5
217,8000,3455,0.5
218,8000,5323,0.5
219,8080,7565,1.0
220,8100,11882,1.0
221,8140,3455,1.0
222,8170,4709,1.0
223,8190,1408,1.0
224,8310,15320,1.0
225,8320,15320,1.0
226,8330,15320,1.0
227,8340,15320,1.0
228,8400,1926,1.0
229,8500,2710,1.0
230,8600,13887,1.0
231,8790,13888,1.0
232,8800,5382,1.0
233,8870,1303,0.3333333333333333
234,8870,7623,0.3333333333333333
235,8870,16606,0.3333333333333333
236,8880,7623,1.0
237,8890,7623,1.0
238,8930,1301,0.3333333333333333
239,8930,1303,0.3333333333333333
240,8930,5382,0.3333333333333333
241,8970,13874,1.0
242,9000,7224,1.0
243,9010,6429,1.0
244,9030,13133,1.0
245,9040,12998,1.0
246,9050,7224,1.0
247,9060,12617,1.0
248,9160,7224,1.0
249,9180,7224,1.0
250,9200,7224,1.0
251,9310,12832,1.0
252,9340,12832,1.0
253,9350,6089,1.0
254,9420,6089,1.0
255,9450,12832,1.0
256,9460,8243,1.0
257,9480,16714,1.0
258,9500,3446,1.0
259,9710,14356,1.0
260,9760,5021,1.0
261,9800,6621,1.0
262,9850,7473,0.3333333333333333
263,9850,14660,0.3333333333333333
264,9850,15625,0.3333333333333333
