id_developer	developers
486	Aera Studios
487	Aerilon Studios
488	Aero Games
489	AeroLab Studios
490	Aerolab Studios LTD
491	Aerolito
492	AeroRider
493	Aesir Interactive
494	Aesthetic Interactive
495	Aetheric Games
496	AFBIK Studio
497	Afeel inc
498	AFF Dev Team
499	Afrobeast Games
500	AfroDieter
501	Afrosquared LLC
502	AFStudio
503	After Death Team
504	After Sunset Games, LLC
505	Afterburn
506	Afterlife Games
507	Aftermath Media
508	aftermonk
509	Afterthought Games
510	Afterthought LLC
511	Afterthought Studios
512	AFY Games
513	AG Directions Inc.
514	AG media
515	Agafonoff
516	Against Gravity�
517	Agar3s
518	Agate
519	AGC
520	Agelvik
521	Agency Principle
522	Agent Mega
523	Ageod
524	Aggressive Combustion
525	Aggroblakh
526	Agharta Studio
527	Aghayeva and Ko s.r.o.
528	AGM PLAYISM
529	AGO Games
530	AGP::Studios
531	Agrostemma
532	Agustin Eisman Moreno
533	AHA Entertainment
534	Ahavah Studio
535	AHEARTFULOFGAMES
536	AhmetBehram
537	Ahndong Studio
538	Aidan Gignac
539	AIGRIND
540	AIHASTO
541	Aikesi
542	Aikio
543	Aim Theory Master
544	aimino
545	Air Viki, LLC
546	Airborne Games
547	Airem
548	Airship Syndicate
549	Airtight Games
550	AirWave Games
551	Airwolt
552	Aist
553	aiueoKompany
554	Aivaras Ivo�kus
555	Aivaras Klimas
556	AIVIK LLC
557	AIXLAB
558	AJetBear Entertainment
559	AjiGohanGames
560	AK Games
561	AK Sommerville
562	AK84C
563	Akaba Studio
564	AKABEiSOFT2
565	Akakiy Petrushkin
566	Akamurasaki Games
567	Akash Balloo
568	AKATSUKI-WORKS
569	AKC
570	Akella
571	Akeshy (Akakiy Petrushkin)
572	AKGames
573	Akimbo Creations
574	Akiragoya
575	Akky-06's Lab
576	AkriGames
577	Aksys Games
578	Akumu Games
579	Akupara Games
580	AKV7
581	Ak�ay Karaazmak
582	AL Games
583	AL-GAME
584	Alain Perrin
585	Alakhaine Specialist Consulting Limited
586	Alan Bourhis
587	Alan Chan
588	Alan Edwardes
589	Alan Hazelden
590	Alan Zucconi
591	Alan �AG� Gordon
592	Alaric von Teplitz
593	Alasdair Beckett-King
594	Alastair John Jack
595	Alawar
596	Alawar Dreamdale
597	Alawar Entertainment
598	Alawar Five-BN
599	Alawar Friday's Games
600	Alawar Southpoint
